Model,Train MAE,Train RMSE,Train R²,Test MAE,Test RMSE,Test R²,Test MAPE (%)
Ridge Regression,0.46619920182861374,0.6608826377513011,0.6732697638028844,0.47443162948974854,0.6731730957118813,0.6541827594934178,27.653484607245087
Lasso Regression,0.5213599285894767,0.727462224382626,0.6041218481595964,0.5229026225720578,0.7358080993669357,0.5868361953527066,30.585740585042885
Random Forest,0.19774630490201922,0.3531204440539191,0.9067204664849227,0.3291881150266842,0.508801668760489,0.8024440137147265,17.708958388199743
Gradient Boosting,0.2683171978930779,0.40518183289429094,0.8771880658588727,0.3137056519978409,0.4798067628916418,0.8243185650134988,17.39810356396958
XGBoost,0.23604133363011617,0.36880748830865,0.8982486681538155,0.29849564495610403,0.46193734938896364,0.8371606740309792,16.336680789003605
